2018-04-09 21:10:58,280 INFO = Issue Orders phase begins
2018-04-09 21:15:39,212 INFO Team.RED PieceType.BASE was built on (1, 2). 
2018-04-09 21:15:39,212 INFO Team.RED PieceType.BASE was built on (1, 2). 
2018-04-09 21:15:44,966 INFO Team.BLUE PieceType.BASE was built on (18, 2). 
2018-04-09 21:15:44,966 INFO Team.BLUE PieceType.BASE was built on (18, 2). 
2018-04-09 21:15:48,622 INFO Team.BLUE PieceType.BASE was built on (1, 2). 
2018-04-09 21:15:48,622 INFO Team.BLUE PieceType.BASE was built on (1, 2). 
2018-04-09 21:15:51,033 INFO Team.RED PieceType.BASE was built on (18, 2). 
2018-04-09 21:15:51,033 INFO Team.RED PieceType.BASE was built on (18, 2). 
2018-04-09 21:16:08,201 INFO Team.RED PieceType.BARRACKS was built on (17, 3). 
2018-04-09 21:16:08,201 INFO Team.RED PieceType.BARRACKS was built on (17, 3). 
2018-04-09 21:16:11,434 INFO Team.BLUE PieceType.BARRACKS was built on (2, 3). 
2018-04-09 21:16:11,434 INFO Team.BLUE PieceType.BARRACKS was built on (2, 3). 
2018-04-09 21:16:18,057 INFO Team.BLUE PieceType.COLONIST was built on (3, 2). 
2018-04-09 21:16:18,057 INFO Team.BLUE PieceType.COLONIST was built on (3, 2). 
2018-04-09 21:16:20,666 INFO Team.RED PieceType.COLONIST was built on (16, 2). 
2018-04-09 21:16:20,666 INFO Team.RED PieceType.COLONIST was built on (16, 2). 
2018-04-09 21:16:39,078 INFO Team.RED PieceType.TROOPER was built on (16, 4). 
2018-04-09 21:16:39,078 INFO Team.RED PieceType.TROOPER was built on (16, 4). 
2018-04-09 21:19:36,178 INFO Team.RED PieceType.GENERATOR was built on (17, 1). 
2018-04-09 21:19:36,178 INFO Team.RED PieceType.GENERATOR was built on (17, 1). 
2018-04-09 21:19:38,316 INFO Team.BLUE PieceType.GENERATOR was built on (2, 1). 
2018-04-09 21:19:38,316 INFO Team.BLUE PieceType.GENERATOR was built on (2, 1). 
2018-04-09 21:25:21,733 INFO = Issue Orders phase begins
2018-04-09 21:25:21,733 INFO = Issue Orders phase begins
2018-04-09 21:29:15,144 INFO Team.RED PieceType.BASE was built on (1, 8). 
2018-04-09 21:29:15,144 INFO Team.RED PieceType.BASE was built on (1, 8). 
2018-04-09 21:29:18,096 INFO Team.BLUE PieceType.BASE was built on (20, 1). 
2018-04-09 21:29:18,096 INFO Team.BLUE PieceType.BASE was built on (20, 1). 
2018-04-09 21:31:46,918 INFO Team.BLUE PieceType.GENERATOR was built on (21, 2). 
2018-04-09 21:31:46,918 INFO Team.BLUE PieceType.GENERATOR was built on (21, 2). 
2018-04-09 21:31:47,557 INFO Team.BLUE PieceType.GENERATOR was built on (21, 0). 
2018-04-09 21:31:47,557 INFO Team.BLUE PieceType.GENERATOR was built on (21, 0). 
2018-04-09 21:31:48,141 INFO Team.BLUE PieceType.GENERATOR was built on (19, 2). 
2018-04-09 21:31:48,141 INFO Team.BLUE PieceType.GENERATOR was built on (19, 2). 
2018-04-09 21:31:49,530 INFO Team.BLUE PieceType.GENERATOR was built on (19, 2). 
2018-04-09 21:31:49,530 INFO Team.BLUE PieceType.GENERATOR was built on (19, 2). 
2018-04-09 21:31:53,005 INFO Team.RED PieceType.GENERATOR was built on (0, 9). 
2018-04-09 21:31:53,005 INFO Team.RED PieceType.GENERATOR was built on (0, 9). 
2018-04-09 21:31:53,561 INFO Team.RED PieceType.GENERATOR was built on (0, 7). 
2018-04-09 21:31:53,561 INFO Team.RED PieceType.GENERATOR was built on (0, 7). 
