2018-04-11 16:48:09,492 INFO = Issue Orders phase begins
2018-04-11 16:48:16,053 INFO Team.RED PieceType.COLONIST was built on (1, 1). 
2018-04-11 16:48:17,076 INFO Team.RED PieceType.TROOPER was built on (2, 1). 
2018-04-11 16:48:17,918 INFO Team.RED PieceType.RANGER was built on (3, 1). 
2018-04-11 16:48:18,712 INFO Team.RED PieceType.GHOST was built on (4, 1). 
2018-04-11 16:48:20,354 INFO Team.RED PieceType.GUARDIAN was built on (2, 2). 
2018-04-11 16:48:21,500 INFO Team.RED PieceType.BOLTCASTER was built on (3, 2). 
2018-04-11 16:48:22,278 INFO Team.RED PieceType.BANSHEE was built on (4, 2). 
2018-04-11 16:48:23,410 INFO Team.RED PieceType.TITAN was built on (2, 3). 
2018-04-11 16:48:24,189 INFO Team.RED PieceType.EARTHRENDER was built on (3, 3). 
2018-04-11 16:48:25,030 INFO Team.RED PieceType.DEMON was built on (4, 3). 
2018-04-11 16:48:27,714 INFO Team.RED PieceType.BASE was built on (5, 1). 
2018-04-11 16:48:28,831 INFO Team.RED PieceType.GENERATOR was built on (5, 2). 
2018-04-11 16:48:30,220 INFO Team.RED PieceType.BARRACKS was built on (5, 3). 
2018-04-11 16:48:31,359 INFO Team.RED PieceType.TOWER was built on (6, 1). 
2018-04-11 16:48:32,227 INFO Team.RED PieceType.TECHLAB was built on (6, 2). 
2018-04-11 16:48:37,952 INFO Team.BLUE PieceType.COLONIST was built on (1, 5). 
2018-04-11 16:48:39,123 INFO Team.BLUE PieceType.TROOPER was built on (2, 5). 
2018-04-11 16:48:39,707 INFO Team.BLUE PieceType.RANGER was built on (3, 5). 
2018-04-11 16:48:40,285 INFO Team.BLUE PieceType.GHOST was built on (4, 5). 
2018-04-11 16:48:41,147 INFO Team.BLUE PieceType.GUARDIAN was built on (2, 6). 
2018-04-11 16:48:44,076 INFO Team.BLUE PieceType.BOLTCASTER was built on (3, 6). 
2018-04-11 16:48:45,273 INFO Team.BLUE PieceType.BANSHEE was built on (4, 6). 
2018-04-11 16:48:46,407 INFO Team.BLUE PieceType.TITAN was built on (2, 7). 
2018-04-11 16:48:47,029 INFO Team.BLUE PieceType.EARTHRENDER was built on (3, 7). 
2018-04-11 16:48:47,751 INFO Team.BLUE PieceType.DEMON was built on (4, 7). 
2018-04-11 16:48:48,957 INFO Team.BLUE PieceType.BASE was built on (5, 5). 
2018-04-11 16:48:49,768 INFO Team.BLUE PieceType.GENERATOR was built on (5, 6). 
2018-04-11 16:48:50,524 INFO Team.BLUE PieceType.BARRACKS was built on (5, 7). 
